https://www.youtube.com/watch?v=0OntLo9AM2w
https://www.youtube.com/watch?v=NukUvUGMcCI
https://www.youtube.com/watch?v=lp1VKcEnpO0

本田潤一        ほんだじゅんいち
北見            きたみ
浦川            うらかわ
水谷		みずたに


#####
小説：

＊　まえがき

p10
体操            たいそう
順序            じゅんじょ
苦心            くしん
人一倍          ひといちばい

p11
塁              るい
打撃            だげき
強打者          きょうだしゃ
得意            とくい
人望            じんぼう
綱引き          つなひき
父兄会          ふけいかい
学業            がくぎょう
首席            しゅせき
占める          しめる

p12
小言		こごと
無邪気		むじゃき
邸宅		ていたく
快活		かいかつ
人並		人並

＊　一　へんな経験
　

######
漫画：

書き留める      かきとどめる
繋がり          つながり
息苦しい        いきぐるしい
同志            どうし
内緒            ないしょ
工面            くめん
数学            すうがく
貧し            まずし
生む出して      うむだした
投げかけた      なげかけた
比例            ひれい
目立たなくて    めだたなくて
好意            こうい
素直            すなお
軽蔑            けいべつ
自尊心          じそんしん 
理屈            りくつ
境遇            きょうぐう
心持ち          こころもち
若い衆たち      わかいしゅうたち 
煙突            えんとつ
伝記            でんき
殴る            なぐる
口実            こうじつ
容赦            容赦
証人            しょうにん
革命            かくめい
英雄            えいゆう
封建制度        ほうけんせいど
法典            ほうてん
生意気          なまいき
反応            はんおう
絶交            ぜっこう
過ち            あやまち
偉大            いだい



